Threshold,	Accuracy Rate,		Type I Error,		Type II Error
0.0,		0.10235294117647059,	0.8976470588235295,	0.0
0.01,		0.10235294117647059,	0.8976470588235295,	0.0
0.02,		0.10235294117647059,	0.8976470588235295,	0.0
0.03,		0.10235294117647059,	0.8976470588235295,	0.0
0.04,		0.10235294117647059,	0.8976470588235295,	0.0
0.05,		0.10352941176470588,	0.8964705882352941,	0.0
0.06,		0.10352941176470588,	0.8964705882352941,	0.0
0.07,		0.10588235294117647,	0.8941176470588236,	0.0
0.08,		0.10705882352941176,	0.8929411764705882,	0.0
0.09,		0.10705882352941176,	0.8929411764705882,	0.0
0.1,		0.10823529411764705,	0.8917647058823529,	0.0
0.11,		0.10941176470588235,	0.8905882352941177,	0.0
0.12,		0.10941176470588235,	0.8905882352941177,	0.0
0.13,		0.10941176470588235,	0.8905882352941177,	0.0
0.14,		0.11058823529411765,	0.8894117647058823,	0.0
0.15,		0.11176470588235295,	0.888235294117647,	0.0
0.16,		0.11294117647058824,	0.8870588235294118,	0.0
0.17,		0.11529411764705882,	0.8847058823529412,	0.0
0.18,		0.1188235294117647,	0.8811764705882353,	0.0
0.19,		0.12,	0.88,	0.0
0.2,		0.12470588235294118,	0.8752941176470588,	0.0
0.21,		0.13176470588235295,	0.8682352941176471,	0.0
0.22,		0.1423529411764706,	0.8576470588235294,	0.0
0.23,		0.14588235294117646,	0.8541176470588235,	0.0
0.24,		0.14823529411764705,	0.851764705882353,	0.0
0.25,		0.15529411764705883,	0.8447058823529412,	0.0
0.26,		0.16,	0.84,	0.0
0.27,		0.17058823529411765,	0.8294117647058824,	0.0
0.28,		0.17882352941176471,	0.8211764705882353,	0.0
0.29,		0.18470588235294116,	0.8152941176470588,	0.0
0.3,		0.1952941176470588,	0.8047058823529412,	0.0
0.31,		0.20941176470588235,	0.7905882352941176,	0.0
0.32,		0.23411764705882354,	0.7658823529411765,	0.0
0.33,		0.2411764705882353,	0.7588235294117647,	0.0
0.34,		0.25176470588235295,	0.7482352941176471,	0.0
0.35,		0.2635294117647059,	0.7364705882352941,	0.0
0.36,		0.2788235294117647,	0.7211764705882353,	0.0
0.37,		0.29764705882352943,	0.7023529411764706,	0.0
0.38,		0.30470588235294116,	0.6952941176470588,	0.0
0.39,		0.32,	0.68,	0.0
0.4,		0.33176470588235296,	0.668235294117647,	0.0
0.41,		0.34352941176470586,	0.6564705882352941,	0.0
0.42,		0.3564705882352941,	0.6435294117647059,	0.0
0.43,		0.37176470588235294,	0.6282352941176471,	0.0
0.44,		0.38823529411764707,	0.611764705882353,	0.0
0.45,		0.40705882352941175,	0.5929411764705882,	0.0
0.46,		0.42470588235294116,	0.5741176470588235,	0.001176470588235294
0.47,		0.4423529411764706,	0.5564705882352942,	0.001176470588235294
0.48,		0.4576470588235294,	0.54,	0.002352941176470588
