Threshold,	Accuracy Rate,		Type I Error,		Type II Error
0.0,		0.10235294117647059,	0.8976470588235295,	0.0
0.01,		0.10235294117647059,	0.8976470588235295,	0.0
0.02,		0.10470588235294118,	0.8952941176470588,	0.0
0.03,		0.10705882352941176,	0.8929411764705882,	0.0
0.04,		0.11647058823529412,	0.8835294117647059,	0.0
0.05,		0.12470588235294118,	0.8752941176470588,	0.0
0.06,		0.12941176470588237,	0.8705882352941177,	0.0
0.07,		0.14352941176470588,	0.8564705882352941,	0.0
0.08,		0.1588235294117647,	0.8411764705882353,	0.0
0.09,		0.18352941176470589,	0.8164705882352942,	0.0
0.1,		0.2188235294117647,	0.7811764705882352,	0.0
0.11,		0.2564705882352941,	0.7435294117647059,	0.0
0.12,		0.28941176470588237,	0.7105882352941176,	0.0
0.13,		0.32235294117647056,	0.6776470588235294,	0.0
0.14,		0.3811764705882353,	0.6188235294117647,	0.0
0.15,		0.4447058823529412,	0.5552941176470588,	0.0
0.16,		0.49058823529411766,	0.5094117647058823,	0.0
0.17,		0.5305882352941177,	0.46941176470588236,	0.0
0.18,		0.5858823529411765,	0.41411764705882353,	0.0
0.19,		0.6352941176470588,	0.36470588235294116,	0.0
0.2,		0.668235294117647,	0.33176470588235296,	0.0
0.21,		0.6964705882352941,	0.3035294117647059,	0.0
0.22,		0.731764705882353,	0.26823529411764707,	0.0
0.23,		0.7635294117647059,	0.23647058823529413,	0.0
0.24,		0.7823529411764706,	0.21764705882352942,	0.0
0.25,		0.8058823529411765,	0.19411764705882353,	0.0
0.26,		0.8305882352941176,	0.16823529411764707,	0.001176470588235294
0.27,		0.8470588235294118,	0.15058823529411763,	0.002352941176470588
0.28,		0.8658823529411764,	0.13058823529411764,	0.0035294117647058825
0.29,		0.8764705882352941,	0.12,	0.0035294117647058825
0.3,		0.8964705882352941,	0.0976470588235294,	0.0058823529411764705
0.31,		0.9129411764705883,	0.08,	0.007058823529411765
0.32,		0.92,	0.07176470588235294,	0.00823529411764706
0.33,		0.928235294117647,	0.06352941176470588,	0.00823529411764706
0.34,		0.9376470588235294,	0.05411764705882353,	0.00823529411764706
0.35,		0.9388235294117647,	0.05058823529411765,	0.010588235294117647
0.36,		0.9458823529411765,	0.042352941176470586,	0.011764705882352941
0.37,		0.9494117647058824,	0.03764705882352941,	0.012941176470588235
0.38,		0.9541176470588235,	0.03294117647058824,	0.012941176470588235
0.39,		0.9529411764705882,	0.03176470588235294,	0.015294117647058824
0.4,		0.9588235294117647,	0.02588235294117647,	0.015294117647058824
0.41,		0.96,	0.021176470588235293,	0.018823529411764704
0.42,		0.9588235294117647,	0.02,	0.021176470588235293
0.43,		0.96,	0.015294117647058824,	0.024705882352941175
0.44,		0.9541176470588235,	0.015294117647058824,	0.03058823529411765
0.45,		0.9505882352941176,	0.015294117647058824,	0.03411764705882353
