Threshold,	Accuracy Rate,		Type I Error,		Type II Error
0.0,		0.10235294117647059,	0.8976470588235295,	0.0
0.01,		0.27176470588235296,	0.7282352941176471,	0.0
0.02,		0.44,	0.56,	0.0
0.03,		0.49058823529411766,	0.5094117647058823,	0.0
0.04,		0.5047058823529412,	0.49529411764705883,	0.0
0.05,		0.5117647058823529,	0.48823529411764705,	0.0
0.06,		0.52,	0.48,	0.0
0.07,		0.5341176470588235,	0.46588235294117647,	0.0
0.08,		0.5905882352941176,	0.40941176470588236,	0.0
0.09,		0.6588235294117647,	0.3411764705882353,	0.0
0.1,		0.6823529411764706,	0.3176470588235294,	0.0
0.11,		0.7,	0.3,	0.0
0.12,		0.711764705882353,	0.28823529411764703,	0.0
0.13,		0.7211764705882353,	0.2788235294117647,	0.0
0.14,		0.7305882352941176,	0.26941176470588235,	0.0
0.15,		0.7388235294117647,	0.2611764705882353,	0.0
0.16,		0.7529411764705882,	0.24705882352941178,	0.0
0.17,		0.7647058823529411,	0.23529411764705882,	0.0
0.18,		0.7694117647058824,	0.22941176470588234,	0.001176470588235294
0.19,		0.7741176470588236,	0.22470588235294117,	0.001176470588235294
0.2,		0.7811764705882352,	0.21764705882352942,	0.001176470588235294
0.21,		0.7835294117647059,	0.21529411764705883,	0.001176470588235294
0.22,		0.7929411764705883,	0.20470588235294118,	0.002352941176470588
0.23,		0.7964705882352942,	0.2011764705882353,	0.002352941176470588
0.24,		0.7988235294117647,	0.1988235294117647,	0.002352941176470588
0.25,		0.7988235294117647,	0.1988235294117647,	0.002352941176470588
0.26,		0.8,	0.1976470588235294,	0.002352941176470588
0.27,		0.8,	0.1976470588235294,	0.002352941176470588
0.28,		0.8011764705882353,	0.19647058823529412,	0.002352941176470588
0.29,		0.8023529411764706,	0.1952941176470588,	0.002352941176470588
0.3,		0.8047058823529412,	0.19294117647058823,	0.002352941176470588
0.31,		0.8058823529411765,	0.19176470588235295,	0.002352941176470588
0.32,		0.808235294117647,	0.18941176470588236,	0.002352941176470588
0.33,		0.8105882352941176,	0.18705882352941178,	0.002352941176470588
0.34,		0.8152941176470588,	0.18235294117647058,	0.002352941176470588
0.35,		0.8188235294117647,	0.17882352941176471,	0.002352941176470588
0.36,		0.82,	0.1776470588235294,	0.002352941176470588
0.37,		0.8270588235294117,	0.16941176470588235,	0.0035294117647058825
0.38,		0.831764705882353,	0.16470588235294117,	0.0035294117647058825
0.39,		0.8364705882352941,	0.1588235294117647,	0.004705882352941176
0.4,		0.84,	0.15529411764705883,	0.004705882352941176
0.41,		0.8494117647058823,	0.14588235294117646,	0.004705882352941176
0.42,		0.8588235294117647,	0.13647058823529412,	0.004705882352941176
0.43,		0.8682352941176471,	0.12588235294117647,	0.0058823529411764705
0.44,		0.88,	0.11411764705882353,	0.0058823529411764705
0.45,		0.8858823529411765,	0.10823529411764705,	0.0058823529411764705
0.46,		0.888235294117647,	0.10588235294117647,	0.0058823529411764705
0.47,		0.8905882352941177,	0.10352941176470588,	0.0058823529411764705
0.48,		0.8941176470588236,	0.1,	0.0058823529411764705
0.49,		0.8964705882352941,	0.0976470588235294,	0.0058823529411764705
0.5,		0.9,	0.09411764705882353,	0.0058823529411764705
0.51,		0.9023529411764706,	0.09058823529411765,	0.007058823529411765
0.52,		0.9047058823529411,	0.08705882352941176,	0.00823529411764706
0.53,		0.9152941176470588,	0.07647058823529412,	0.00823529411764706
0.54,		0.9188235294117647,	0.07176470588235294,	0.009411764705882352
0.55,		0.9235294117647059,	0.06588235294117648,	0.010588235294117647
0.56,		0.9305882352941176,	0.05764705882352941,	0.011764705882352941
0.57,		0.9352941176470588,	0.04941176470588235,	0.015294117647058824
0.58,		0.9388235294117647,	0.04588235294117647,	0.015294117647058824
0.59,		0.9411764705882353,	0.04352941176470588,	0.015294117647058824
0.6,		0.9388235294117647,	0.042352941176470586,	0.018823529411764704
0.61,		0.94,	0.04,	0.02
0.62,		0.9376470588235294,	0.03882352941176471,	0.023529411764705882
0.63,		0.9364705882352942,	0.03764705882352941,	0.02588235294117647
0.64,		0.9388235294117647,	0.03529411764705882,	0.02588235294117647
0.65,		0.9388235294117647,	0.03529411764705882,	0.02588235294117647
0.66,		0.9388235294117647,	0.03529411764705882,	0.02588235294117647
0.67,		0.94,	0.03411764705882353,	0.02588235294117647
0.68,		0.9411764705882353,	0.03294117647058824,	0.02588235294117647
0.69,		0.9423529411764706,	0.03176470588235294,	0.02588235294117647
0.7,		0.9447058823529412,	0.029411764705882353,	0.02588235294117647
0.71,		0.9458823529411765,	0.02588235294117647,	0.02823529411764706
0.72,		0.9458823529411765,	0.024705882352941175,	0.029411764705882353
0.73,		0.9447058823529412,	0.02235294117647059,	0.03294117647058824
0.74,		0.9435294117647058,	0.02235294117647059,	0.03411764705882353
0.75,		0.9411764705882353,	0.021176470588235293,	0.03764705882352941
0.76,		0.9364705882352942,	0.021176470588235293,	0.042352941176470586
0.77,		0.9352941176470588,	0.018823529411764704,	0.04588235294117647
0.78,		0.9329411764705883,	0.01411764705882353,	0.052941176470588235
0.79,		0.9305882352941176,	0.012941176470588235,	0.05647058823529412
0.8,		0.9258823529411765,	0.012941176470588235,	0.0611764705882353
0.81,		0.9247058823529412,	0.010588235294117647,	0.06470588235294118
0.82,		0.9211764705882353,	0.00823529411764706,	0.07058823529411765
0.83,		0.9164705882352941,	0.007058823529411765,	0.07647058823529412
0.84,		0.9152941176470588,	0.0058823529411764705,	0.07882352941176471
0.85,		0.9152941176470588,	0.0058823529411764705,	0.07882352941176471
0.86,		0.9141176470588235,	0.0035294117647058825,	0.08235294117647059
0.87,		0.9094117647058824,	0.002352941176470588,	0.08823529411764706
0.88,		0.908235294117647,	0.002352941176470588,	0.08941176470588236
0.89,		0.9070588235294118,	0.001176470588235294,	0.09176470588235294
0.9,		0.9047058823529411,	0.001176470588235294,	0.09411764705882353
0.91,		0.9035294117647059,	0.001176470588235294,	0.09529411764705882
0.92,		0.9035294117647059,	0.0,	0.09647058823529411
0.93,		0.9011764705882352,	0.0,	0.0988235294117647
0.94,		0.8988235294117647,	0.0,	0.1011764705882353
0.95,		0.8988235294117647,	0.0,	0.1011764705882353
0.96,		0.8988235294117647,	0.0,	0.1011764705882353
0.97,		0.8976470588235295,	0.0,	0.10235294117647059
0.98,		0.8976470588235295,	0.0,	0.10235294117647059
0.99,		0.8976470588235295,	0.0,	0.10235294117647059
1.0,		0.8976470588235295,	0.0,	0.10235294117647059
