Threshold,	Accuracy Rate,		Type I Error,		Type II Error
0.0,		0.10235294117647059,	0.8976470588235295,	0.0
0.01,		0.10235294117647059,	0.8976470588235295,	0.0
0.02,		0.10352941176470588,	0.8964705882352941,	0.0
0.03,		0.10588235294117647,	0.8941176470588236,	0.0
0.04,		0.10823529411764705,	0.8917647058823529,	0.0
0.05,		0.11176470588235295,	0.888235294117647,	0.0
0.06,		0.11411764705882353,	0.8858823529411765,	0.0
0.07,		0.11647058823529412,	0.8835294117647059,	0.0
0.08,		0.1223529411764706,	0.8776470588235294,	0.0
0.09,		0.12352941176470589,	0.8764705882352941,	0.0
0.1,		0.12470588235294118,	0.8752941176470588,	0.0
0.11,		0.12823529411764706,	0.8717647058823529,	0.0
0.12,		0.12941176470588237,	0.8705882352941177,	0.0
0.13,		0.13176470588235295,	0.8682352941176471,	0.0
0.14,		0.13411764705882354,	0.8658823529411764,	0.0
0.15,		0.13647058823529412,	0.8635294117647059,	0.0
0.16,		0.1376470588235294,	0.8623529411764705,	0.0
0.17,		0.1411764705882353,	0.8588235294117647,	0.0
0.18,		0.14823529411764705,	0.851764705882353,	0.0
0.19,		0.16,	0.84,	0.0
0.2,		0.16705882352941176,	0.8329411764705882,	0.0
0.21,		0.17529411764705882,	0.8247058823529412,	0.0
0.22,		0.19176470588235295,	0.808235294117647,	0.0
0.23,		0.2011764705882353,	0.7988235294117647,	0.0
0.24,		0.20941176470588235,	0.7905882352941176,	0.0
0.25,		0.21411764705882352,	0.7858823529411765,	0.0
0.26,		0.2211764705882353,	0.7788235294117647,	0.0
0.27,		0.22941176470588234,	0.7705882352941177,	0.0
0.28,		0.23411764705882354,	0.7658823529411765,	0.0
0.29,		0.2564705882352941,	0.7435294117647059,	0.0
0.3,		0.2788235294117647,	0.7211764705882353,	0.0
0.31,		0.2988235294117647,	0.7011764705882353,	0.0
0.32,		0.3129411764705882,	0.6870588235294117,	0.0
0.33,		0.3270588235294118,	0.6729411764705883,	0.0
0.34,		0.3447058823529412,	0.6552941176470588,	0.0
0.35,		0.3552941176470588,	0.6447058823529411,	0.0
0.36,		0.37411764705882355,	0.6258823529411764,	0.0
0.37,		0.3905882352941176,	0.6094117647058823,	0.0
0.38,		0.40941176470588236,	0.5905882352941176,	0.0
0.39,		0.42823529411764705,	0.571764705882353,	0.0
0.4,		0.4682352941176471,	0.5317647058823529,	0.0
0.41,		0.49411764705882355,	0.5058823529411764,	0.0
0.42,		0.5188235294117647,	0.4811764705882353,	0.0
0.43,		0.5541176470588235,	0.44588235294117645,	0.0
0.44,		0.571764705882353,	0.42823529411764705,	0.0
0.45,		0.5823529411764706,	0.4176470588235294,	0.0
0.46,		0.5941176470588235,	0.40588235294117647,	0.0
0.47,		0.6047058823529412,	0.3952941176470588,	0.0
0.48,		0.6152941176470588,	0.3847058823529412,	0.0
