Threshold,	Accuracy Rate,		Type I Error,		Type II Error
0.0,		0.10235294117647059,	0.8976470588235295,	0.0
0.01,		0.10235294117647059,	0.8976470588235295,	0.0
0.02,		0.10470588235294118,	0.8952941176470588,	0.0
0.03,		0.10941176470588235,	0.8905882352941177,	0.0
0.04,		0.11411764705882353,	0.8858823529411765,	0.0
0.05,		0.11764705882352941,	0.8823529411764706,	0.0
0.06,		0.1223529411764706,	0.8776470588235294,	0.0
0.07,		0.12470588235294118,	0.8752941176470588,	0.0
0.08,		0.12823529411764706,	0.8717647058823529,	0.0
0.09,		0.13058823529411764,	0.8694117647058823,	0.0
0.1,		0.13647058823529412,	0.8635294117647059,	0.0
0.11,		0.14,	0.86,	0.0
0.12,		0.14352941176470588,	0.8564705882352941,	0.0
0.13,		0.14823529411764705,	0.851764705882353,	0.0
0.14,		0.1564705882352941,	0.8435294117647059,	0.0
0.15,		0.16941176470588235,	0.8305882352941176,	0.0
0.16,		0.1776470588235294,	0.8223529411764706,	0.0
0.17,		0.18941176470588236,	0.8105882352941176,	0.0
0.18,		0.20470588235294118,	0.7952941176470588,	0.0
0.19,		0.22588235294117648,	0.7741176470588236,	0.0
0.2,		0.25176470588235295,	0.7482352941176471,	0.0
0.21,		0.2741176470588235,	0.7258823529411764,	0.0
0.22,		0.2847058823529412,	0.7152941176470589,	0.0
0.23,		0.2964705882352941,	0.7035294117647058,	0.0
0.24,		0.31882352941176473,	0.6811764705882353,	0.0
0.25,		0.34352941176470586,	0.6564705882352941,	0.0
0.26,		0.36823529411764705,	0.6317647058823529,	0.0
0.27,		0.39176470588235296,	0.6082352941176471,	0.0
0.28,		0.41058823529411764,	0.5894117647058823,	0.0
0.29,		0.42823529411764705,	0.571764705882353,	0.0
0.3,		0.4435294117647059,	0.5564705882352942,	0.0
0.31,		0.4505882352941176,	0.5494117647058824,	0.0
0.32,		0.46705882352941175,	0.5329411764705883,	0.0
0.33,		0.4811764705882353,	0.5188235294117647,	0.0
0.34,		0.49411764705882355,	0.5058823529411764,	0.0
0.35,		0.5058823529411764,	0.49411764705882355,	0.0
0.36,		0.5129411764705882,	0.48705882352941177,	0.0
0.37,		0.5317647058823529,	0.4682352941176471,	0.0
0.38,		0.5435294117647059,	0.45647058823529413,	0.0
0.39,		0.5541176470588235,	0.44588235294117645,	0.0
0.4,		0.5705882352941176,	0.4294117647058823,	0.0
0.41,		0.5847058823529412,	0.4152941176470588,	0.0
0.42,		0.6011764705882353,	0.3988235294117647,	0.0
0.43,		0.6141176470588235,	0.38588235294117645,	0.0
0.44,		0.6388235294117647,	0.3611764705882353,	0.0
0.45,		0.6517647058823529,	0.34823529411764703,	0.0
0.46,		0.6658823529411765,	0.3341176470588235,	0.0
0.47,		0.6811764705882353,	0.31882352941176473,	0.0
