Threshold,	Accuracy Rate,		Type I Error,		Type II Error
0.0,		0.10235294117647059,	0.8976470588235295,	0.0
0.01,		0.10235294117647059,	0.8976470588235295,	0.0
0.02,		0.10352941176470588,	0.8964705882352941,	0.0
0.03,		0.10705882352941176,	0.8929411764705882,	0.0
0.04,		0.11058823529411765,	0.8894117647058823,	0.0
0.05,		0.11294117647058824,	0.8870588235294118,	0.0
0.06,		0.1188235294117647,	0.8811764705882353,	0.0
0.07,		0.12352941176470589,	0.8764705882352941,	0.0
0.08,		0.12705882352941175,	0.8729411764705882,	0.0
0.09,		0.13058823529411764,	0.8694117647058823,	0.0
0.1,		0.13294117647058823,	0.8670588235294118,	0.0
0.11,		0.14705882352941177,	0.8529411764705882,	0.0
0.12,		0.16,	0.84,	0.0
0.13,		0.16823529411764707,	0.831764705882353,	0.0
0.14,		0.18,	0.82,	0.0
0.15,		0.20352941176470588,	0.7964705882352942,	0.0
0.16,		0.21294117647058824,	0.7870588235294118,	0.0
0.17,		0.23058823529411765,	0.7694117647058824,	0.0
0.18,		0.2576470588235294,	0.7423529411764705,	0.0
0.19,		0.2847058823529412,	0.7152941176470589,	0.0
0.2,		0.3023529411764706,	0.6976470588235294,	0.0
0.21,		0.3247058823529412,	0.6752941176470588,	0.0
0.22,		0.3517647058823529,	0.648235294117647,	0.0
0.23,		0.3776470588235294,	0.6223529411764706,	0.0
0.24,		0.4164705882352941,	0.5835294117647059,	0.0
0.25,		0.46,	0.54,	0.0
0.26,		0.4858823529411765,	0.5141176470588236,	0.0
0.27,		0.5247058823529411,	0.4752941176470588,	0.0
0.28,		0.5529411764705883,	0.4470588235294118,	0.0
0.29,		0.5811764705882353,	0.4188235294117647,	0.0
0.3,		0.6011764705882353,	0.3988235294117647,	0.0
0.31,		0.6270588235294118,	0.3729411764705882,	0.0
0.32,		0.6470588235294118,	0.35294117647058826,	0.0
0.33,		0.6729411764705883,	0.3270588235294118,	0.0
0.34,		0.7,	0.3,	0.0
0.35,		0.7211764705882353,	0.2788235294117647,	0.0
0.36,		0.7411764705882353,	0.25882352941176473,	0.0
0.37,		0.7552941176470588,	0.2447058823529412,	0.0
0.38,		0.7694117647058824,	0.23058823529411765,	0.0
0.39,		0.788235294117647,	0.21176470588235294,	0.0
0.4,		0.8035294117647059,	0.19647058823529412,	0.0
0.41,		0.8141176470588235,	0.18588235294117647,	0.0
0.42,		0.8341176470588235,	0.16588235294117648,	0.0
0.43,		0.8447058823529412,	0.15529411764705883,	0.0
0.44,		0.8552941176470589,	0.14352941176470588,	0.001176470588235294
0.45,		0.8611764705882353,	0.13529411764705881,	0.0035294117647058825
0.46,		0.8741176470588236,	0.1223529411764706,	0.0035294117647058825
0.47,		0.8905882352941177,	0.10352941176470588,	0.0058823529411764705
0.48,		0.9011764705882352,	0.09294117647058824,	0.0058823529411764705
