Threshold,	Accuracy Rate,		Type I Error,		Type II Error
0.0,		0.10235294117647059,	0.8976470588235295,	0.0
0.01,		0.10470588235294118,	0.8952941176470588,	0.0
0.02,		0.11764705882352941,	0.8823529411764706,	0.0
0.03,		0.12823529411764706,	0.8717647058823529,	0.0
0.04,		0.14,	0.86,	0.0
0.05,		0.15411764705882353,	0.8458823529411764,	0.0
0.06,		0.18235294117647058,	0.8176470588235294,	0.0
0.07,		0.23294117647058823,	0.7670588235294118,	0.0
0.08,		0.29764705882352943,	0.7023529411764706,	0.0
0.09,		0.3458823529411765,	0.6541176470588236,	0.0
0.1,		0.39294117647058824,	0.6070588235294118,	0.0
0.11,		0.4235294117647059,	0.5764705882352941,	0.0
0.12,		0.44823529411764707,	0.5517647058823529,	0.0
0.13,		0.46705882352941175,	0.5329411764705883,	0.0
0.14,		0.48,	0.52,	0.0
0.15,		0.4976470588235294,	0.5023529411764706,	0.0
0.16,		0.5152941176470588,	0.48470588235294115,	0.0
0.17,		0.5211764705882352,	0.4788235294117647,	0.0
0.18,		0.5329411764705883,	0.46705882352941175,	0.0
0.19,		0.5494117647058824,	0.4505882352941176,	0.0
0.2,		0.5611764705882353,	0.4388235294117647,	0.0
0.21,		0.5729411764705883,	0.42705882352941177,	0.0
0.22,		0.5882352941176471,	0.4117647058823529,	0.0
0.23,		0.6094117647058823,	0.3905882352941176,	0.0
0.24,		0.6447058823529411,	0.3552941176470588,	0.0
0.25,		0.6705882352941176,	0.32941176470588235,	0.0
0.26,		0.6905882352941176,	0.30941176470588233,	0.0
0.27,		0.7,	0.3,	0.0
0.28,		0.7105882352941176,	0.28941176470588237,	0.0
0.29,		0.7164705882352941,	0.28352941176470586,	0.0
0.3,		0.7258823529411764,	0.2741176470588235,	0.0
0.31,		0.7352941176470589,	0.2647058823529412,	0.0
0.32,		0.7388235294117647,	0.2611764705882353,	0.0
0.33,		0.7482352941176471,	0.25176470588235295,	0.0
0.34,		0.7564705882352941,	0.24352941176470588,	0.0
0.35,		0.7647058823529411,	0.23529411764705882,	0.0
0.36,		0.7741176470588236,	0.22588235294117648,	0.0
0.37,		0.7823529411764706,	0.21764705882352942,	0.0
0.38,		0.7894117647058824,	0.21058823529411766,	0.0
0.39,		0.7988235294117647,	0.2,	0.001176470588235294
0.4,		0.8094117647058824,	0.18941176470588236,	0.001176470588235294
0.41,		0.8152941176470588,	0.18352941176470589,	0.001176470588235294
0.42,		0.8211764705882353,	0.1776470588235294,	0.001176470588235294
0.43,		0.8258823529411765,	0.17176470588235293,	0.002352941176470588
0.44,		0.8294117647058824,	0.16823529411764707,	0.002352941176470588
0.45,		0.831764705882353,	0.16588235294117648,	0.002352941176470588
0.46,		0.8329411764705882,	0.16470588235294117,	0.002352941176470588
0.47,		0.8352941176470589,	0.1623529411764706,	0.002352941176470588
0.48,		0.84,	0.1564705882352941,	0.0035294117647058825
0.49,		0.8458823529411764,	0.15058823529411763,	0.0035294117647058825
0.5,		0.8505882352941176,	0.14588235294117646,	0.0035294117647058825
0.51,		0.86,	0.13647058823529412,	0.0035294117647058825
0.52,		0.8658823529411764,	0.13058823529411764,	0.0035294117647058825
0.53,		0.8741176470588236,	0.1223529411764706,	0.0035294117647058825
0.54,		0.8752941176470588,	0.12,	0.004705882352941176
0.55,		0.88,	0.11529411764705882,	0.004705882352941176
0.56,		0.8905882352941177,	0.10352941176470588,	0.0058823529411764705
0.57,		0.8894117647058823,	0.10352941176470588,	0.007058823529411765
0.58,		0.8929411764705882,	0.1,	0.007058823529411765
0.59,		0.8941176470588236,	0.0976470588235294,	0.00823529411764706
0.6,		0.8964705882352941,	0.09529411764705882,	0.00823529411764706
0.61,		0.9011764705882352,	0.09058823529411765,	0.00823529411764706
0.62,		0.9070588235294118,	0.08470588235294117,	0.00823529411764706
0.63,		0.9152941176470588,	0.07647058823529412,	0.00823529411764706
0.64,		0.9223529411764706,	0.06941176470588235,	0.00823529411764706
0.65,		0.9294117647058824,	0.06235294117647059,	0.00823529411764706
0.66,		0.9341176470588235,	0.05764705882352941,	0.00823529411764706
0.67,		0.9352941176470588,	0.05529411764705883,	0.009411764705882352
0.68,		0.9329411764705883,	0.05411764705882353,	0.012941176470588235
0.69,		0.9364705882352942,	0.05058823529411765,	0.012941176470588235
0.7,		0.9388235294117647,	0.047058823529411764,	0.01411764705882353
0.71,		0.9423529411764706,	0.04352941176470588,	0.01411764705882353
0.72,		0.9376470588235294,	0.04352941176470588,	0.018823529411764704
0.73,		0.9411764705882353,	0.04,	0.018823529411764704
0.74,		0.9411764705882353,	0.03764705882352941,	0.021176470588235293
0.75,		0.9458823529411765,	0.03294117647058824,	0.021176470588235293
0.76,		0.9447058823529412,	0.03058823529411765,	0.024705882352941175
0.77,		0.9458823529411765,	0.02823529411764706,	0.02588235294117647
0.78,		0.9458823529411765,	0.024705882352941175,	0.029411764705882353
0.79,		0.9458823529411765,	0.021176470588235293,	0.03294117647058824
0.8,		0.9435294117647058,	0.02,	0.036470588235294116
0.81,		0.9388235294117647,	0.02,	0.041176470588235294
0.82,		0.9388235294117647,	0.018823529411764704,	0.042352941176470586
0.83,		0.9364705882352942,	0.01411764705882353,	0.04941176470588235
0.84,		0.9341176470588235,	0.01411764705882353,	0.05176470588235294
0.85,		0.9270588235294117,	0.01411764705882353,	0.058823529411764705
0.86,		0.9258823529411765,	0.010588235294117647,	0.06352941176470588
0.87,		0.9188235294117647,	0.009411764705882352,	0.07176470588235294
0.88,		0.9188235294117647,	0.0058823529411764705,	0.07529411764705882
0.89,		0.9129411764705883,	0.004705882352941176,	0.08235294117647059
0.9,		0.9117647058823529,	0.004705882352941176,	0.08352941176470588
0.91,		0.908235294117647,	0.002352941176470588,	0.08941176470588236
0.92,		0.908235294117647,	0.001176470588235294,	0.09058823529411765
0.93,		0.9058823529411765,	0.001176470588235294,	0.09294117647058824
0.94,		0.9058823529411765,	0.0,	0.09411764705882353
0.95,		0.9011764705882352,	0.0,	0.0988235294117647
0.96,		0.8988235294117647,	0.0,	0.1011764705882353
0.97,		0.8988235294117647,	0.0,	0.1011764705882353
0.98,		0.8976470588235295,	0.0,	0.10235294117647059
0.99,		0.8976470588235295,	0.0,	0.10235294117647059
1.0,		0.8976470588235295,	0.0,	0.10235294117647059
